LAST EDITED DATE,OBSERVATION COUNT,COUNTRY,COUNTRY CODE,STATE,STATE CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,TRIP COMMENTS,SPECIES COMMENTS,year,OBSERVATION_DATE
2019-12-02 06:26:56,3,Australia,AU,Tasmania,AU-TAS,L10225880,P,-43.3235445,147.23943,2019-12-02,16:13:00,obsr626092,S61922645,Stationary,15.0,,,4.0,1,G4715128,,With 2 adults,2019,2019-12-02
2020-02-17 00:35:34,3,Australia,AU,New South Wales,AU-NSW,L2550521,H,-36.36991,150.07982,2019-05-26,10:02:00,obsr907267,S56737163,Traveling,39.0,0.5,,1.0,1,,,,2019,2019-05-26
2020-05-12 18:28:11,2,Australia,AU,South Australia,AU-SA,L5069084,H,-35.0285665,138.5169151,2019-01-03,18:00:00,obsr826775,S51245673,Traveling,30.0,2.0,,1.0,1,,,,2019,2019-01-03
2020-06-01 08:29:58,2,Australia,AU,Tasmania,AU-TAS,L1163828,H,-42.5542184,147.8792381,2019-12-27,06:04:00,obsr283642,S62644263,Traveling,88.0,0.75,,2.0,1,,,,2019,2019-12-27
2020-06-03 08:09:27,1,Australia,AU,Tasmania,AU-TAS,L4285136,H,-41.0539399,144.669857,2019-01-19,11:15:00,obsr450633,S52673575,Traveling,60.0,4.0,,2.0,0,,,,2019,2019-01-19
2020-02-28 23:32:23,2,Australia,AU,Victoria,AU-VIC,L1121735,H,-38.3565457,142.3109722,2019-01-29,12:00:00,obsr450819,S52157891,Incidental,,,,1.0,0,,"very hot, 25°C, 28-35km/hr ssw. sunny. lowtide 11.30am",,2019,2019-01-29
2020-02-28 23:34:27,2,Australia,AU,Victoria,AU-VIC,L8415840,P,-38.35714,142.314196,2019-01-13,07:03:00,obsr642128,S51751042,Traveling,45.0,1.2,,3.0,1,G3758224,,,2019,2019-01-13
2020-04-03 22:03:40,2,Australia,AU,Victoria,AU-VIC,L8418031,P,-38.6341272,145.7538426,2019-11-16,16:30:00,obsr538497,S61640267,Traveling,60.0,1.0,,8.0,1,G4685732,"Walked from our camp at the E end of the Foreshore Reserve along most of the Screw Creek walk. Weather cool, showery, mostly cloudy.",One had leg flag no. 55,2019,2019-11-16
2019-01-29 18:53:45,14,Australia,AU,Tasmania,AU-TAS,L1206904,H,-42.8292123,147.8733158,2019-01-25,16:52:00,obsr430524,S52013190,Traveling,43.0,2.828,,2.0,1,G3794021,,,2019,2019-01-25
2020-02-28 23:40:42,2,Australia,AU,Victoria,AU-VIC,L2550532,H,-37.74574,149.50057,2019-01-14,07:00:00,obsr1087305,S51727472,Traveling,480.0,6.0,,1.0,1,,,,2019,2019-01-14
2019-12-26 17:18:28,3,Australia,AU,South Australia,AU-SA,L2543473,H,-35.98078,137.1825,2019-12-27,07:45:00,obsr1218983,S62647915,Traveling,30.0,1.0,,1.0,1,,Around campground,,2019,2019-12-27
2020-06-03 08:44:12,3,Australia,AU,Tasmania,AU-TAS,L3039293,H,-40.7970518,145.2737274,2019-12-26,16:40:00,obsr665983,S62627379,Stationary,5.0,,,2.0,1,G4784968,"Mild, clear and windy.",,2019,2019-12-26
2020-02-17 03:19:26,2,Australia,AU,New South Wales,AU-NSW,L2543562,H,-35.20579,150.55063,2019-03-30,15:28:00,obsr541356,S54364160,Traveling,47.0,1.5,,1.0,1,G3995369,,"One with leg band ""N2"" on upper left leg, and silver metal ring on lower right leg (same bird). One without any bands. (I have a photograph of ""N2"" dating to 2015 - on the same beach where it was breeding with another leg-banded Hooded Plover at that time.",2019,2019-03-30
2020-02-28 23:42:54,2,Australia,AU,Victoria,AU-VIC,L2552175,H,-37.78774,148.77179,2019-01-08,15:10:00,obsr374654,S51508838,Traveling,90.0,3.219,,1.0,1,G4644813,"Cloudy afternoon, storm and rain later. Very quiet for birds. Also 1 Swamp Wallaby seen.","On beach, fairly close to Yeerung estuary mouth (which is closed btw). Both appeared to be adults. Occasinally one adult walked at the other, raising wings, other walked away each time. But didn't appear like serious harassment of a rival or immature being driven off. Two birds walked and foraged together most of the time. ",2019,2019-01-08
2019-02-10 06:46:07,2,Australia,AU,South Australia,AU-SA,L3010187,P,-35.63212,138.47511,2019-02-10,14:33:00,obsr189672,S52547410,Traveling,135.0,3.219,,1.0,1,,"Weather: solid  cloud, mild, mod W wind. Walking observations from 1430 to 1645 over a one way distance of 2 mi. Birdlife Aust. HP breeding survey.","2:33 PM, Two usual ones seen at Parsons Bch. One was banded - orange flag on left leg with letters EV. , (-35.63143, 138.47219)",2019,2019-02-10
2020-02-28 23:10:18,3,Australia,AU,Victoria,AU-VIC,L9289186,P,-38.301101,144.367136,2019-05-18,09:31:00,obsr507649,S56432444,Traveling,119.0,5.4,,2.0,1,,,,2019,2019-05-18
2020-02-28 22:55:31,1,Australia,AU,Victoria,AU-VIC,L5106420,P,-38.2813131,144.4328356,2019-01-24,19:35:00,obsr598621,S52013984,Stationary,30.0,,,2.0,1,G3794050,Observed from adjacent to closed informal access tracks at 42W to half way to 40W beach access.,Known nest (40-40W site).,2019,2019-01-24
2019-11-22 02:29:09,4,Australia,AU,Tasmania,AU-TAS,L10182434,P,-43.323443,147.240279,2019-11-21,09:16:00,obsr50621,S61642391,Traveling,21.0,0.805,,6.0,1,,,,2019,2019-11-21
2020-06-08 07:08:11,1,Australia,AU,Tasmania,AU-TAS,L8585337,H,-40.8302778,147.67,2019-12-23,08:21:00,obsr1396603,S62539745,Traveling,125.0,6.0,,1.0,1,,Accidentally deleted checklist for 22 Dec - recreating. Walk on Waterhouse beach and coastal dune forest,,2019,2019-12-23
2020-04-13 19:10:02,17,Australia,AU,Victoria,AU-VIC,L2549083,H,-38.7115,146.70353,2019-02-02,07:33:00,obsr647926,S52285119,Traveling,425.0,19.537,,10.0,1,G3819888,,,2019,2019-02-02
2020-02-28 22:31:26,4,Australia,AU,Victoria,AU-VIC,L2548606,H,-38.2860157,144.4201219,2019-06-29,14:00:00,obsr450763,S58875122,Traveling,60.0,0.5,,1.0,1,,Shorebirds 2020 Winter Count,,2019,2019-06-29
2020-04-13 19:10:02,15,Australia,AU,Victoria,AU-VIC,L2549083,H,-38.7115,146.70353,2019-02-02,07:30:00,obsr871149,S52290614,Traveling,435.0,15.0,,10.0,1,,,,2019,2019-02-02
2019-02-06 18:22:37,26,Australia,AU,Tasmania,AU-TAS,L4326797,H,-40.8044305,145.1873302,2019-01-27,14:59:00,obsr794578,S52398785,Traveling,229.0,4.8,,2.0,1,G3830673,"Winds of 40+ kph throughout. Couldn’t hear much and at roosting point, had sand constantly blowing onto our faces and into the optics. Rain on return. Rather uncomfortable overall!",,2019,2019-01-27
2020-02-29 00:19:17,7,Australia,AU,Victoria,AU-VIC,L2547409,H,-38.44659,144.85542,2019-12-29,09:18:00,obsr859483,S62716543,Traveling,86.0,3.93,,1.0,1,,,,2019,2019-12-29
