,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 46
0,URN:CornellLabOfOrnithology:EBIRD:OBS333933965,2020-05-09 18:17:04,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,Kangaroo Island,L1007583,P,-35.79999,137.15332,1997-11-27,,obsr200801,S24427483,Historical,P62,EBIRD_AU,,,,,0,,0,1,0,,Observations from 3-day trip (11/26/1997-11/28/1997).  Specific locational data not recorded.,,
1,URN:CornellLabOfOrnithology:EBIRD:OBS228310533,2020-02-17 00:35:38,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,New South Wales,AU-NSW,Bega Valley,AU-NSW-BEG,,,,,Ben Boyd National Park--Green Cape,L2551252,H,-37.26085,150.04925,1996-09-29,,obsr19060,S16610077,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 5093,2,
2,URN:CornellLabOfOrnithology:EBIRD:OBS228710760,2020-02-28 22:30:40,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Greater Geelong,AU-VIC-GGE,,,,,Breamlea,L2548454,H,-38.294780000000000,144.39279,1994-04-21,,obsr450476,S16688376,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"List by Trevor Prescott, Belmont,Vic., reported in The Bird Observer dated July, 1994. Eremaea Birds List 33448",2,
3,URN:CornellLabOfOrnithology:EBIRD:OBS507464259,2019-08-14 12:44:10,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Western Australia,AU-WA,Ravensthorpe,AU-WA-RAV,,,,,Fitzgerald River NP W Aust,L5919920,P,-33.889,119.8838,1993-11-03,,obsr160099,S37323567,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,Bob and Joan Tweit  No details,,
4,URN:CornellLabOfOrnithology:EBIRD:OBS482983470,2017-10-20 12:10:17,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Freycinet National Park,L921586,H,-42.1924,148.3113,1998-11-08,,obsr221161,S35741386,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
5,URN:CornellLabOfOrnithology:EBIRD:OBS849501340,2020-02-28 19:52:27,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,South Gippsland,AU-VIC-SGI,,,,,Wilsons Promontory National Park--Pillar Point Track,L5064375,H,-39.030689,146.313156,1997-07-09,,obsr206290,S63241610,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
6,URN:CornellLabOfOrnithology:EBIRD:OBS570391036,2020-02-28 23:31:54,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Corangamite,AU-VIC-COR,,,,,Peterborough,L6765266,P,-38.61667,142.88333,1999-04-20,13:00:00,obsr545855,S42173203,Traveling,P22,EBIRD,180.0,0.805,,1.0,1,,0,1,0,,,,
7,URN:CornellLabOfOrnithology:EBIRD:OBS632802755,2020-02-17 16:54:06,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Eurobodalla,AU-NSW-EUR,,,,,South Durras Lake Entrance,L6744017,P,-35.6402781,150.30429840000000,1992-07-10,09:00:00,obsr918532,S46674398,Traveling,P22,EBIRD,60.0,0.5,,1.0,1,,0,1,0,,,,
8,URN:CornellLabOfOrnithology:EBIRD:OBS457704023,2017-10-23 12:09:29,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Unincorporated SA,AU-SA-UNI,,,,,"Wedge Island, SA",L5265252,P,-35.1551779,136.462369,1992-03-07,,obsr450602,S33710485,Historical,P62,EBIRD_AU,,,,1.0,1,,0,1,0,,"personal list only, SAOA charter of ship ""One and All""",,
9,URN:CornellLabOfOrnithology:EBIRD:OBS459268830,2020-02-28 21:03:04,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Kilcunda-Harmers Haven Coastal Reserve--Powlett River,L1600040,H,-38.575804300000000,145.51095980000000,1973-08-04,,obsr439702,S33838909,Historical,P62,EBIRD_AU,,,,1.0,1,,0,1,0,,,,
10,URN:CornellLabOfOrnithology:EBIRD:OBS898754457,2020-04-20 06:01:31,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Penguin Parade,L2549788,H,-38.51031,145.15022,1985-11-24,,obsr1412622,S67515715,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
11,URN:CornellLabOfOrnithology:EBIRD:OBS464984520,2020-02-28 23:48:02,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Bunga Creek,L5427311,P,-37.8686311,148.0463615,1981-11-05,09:10:00,obsr567311,S34306619,Stationary,P21,EBIRD_AU,20.0,,,2.0,0,,0,1,0,,,,
12,URN:CornellLabOfOrnithology:EBIRD:OBS608934004,2020-02-17 03:18:29,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,Ulladulla,L2541742,H,-35.35349,150.47012,1995-03-19,,obsr357881,S26546997,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,,,
13,URN:CornellLabOfOrnithology:EBIRD:OBS228367714,2020-07-13 22:57:49,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,New South Wales,AU-NSW,Sutherland Shire,AU-NSW-SUT,,,,,Kurnell 10' Cell,L2556376,P,-34.08333,151.25,1979-10-14,,obsr450240,S16627080,Incidental,P20,EBIRD_AU,,,,,1,,0,1,1,,Eremaea Birds List 8669,,
14,URN:CornellLabOfOrnithology:EBIRD:OBS934224465,2020-06-17 02:15:58,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,Kingborough,AU-TAS-KIN,,,,,Bruny Island State Forest,L942994,H,-43.398562,147.319622,1990-04-15,,obsr765185,S69819747,Historical,P62,EBIRD,,,,3.0,1,G5338589,0,1,0,,Day trip covering all of Bruny Island from Dennes Point south to Cloudy Bay; total travelled 63 km (min.) [one way] and time 6 hours.,Cloudy Bay,
15,URN:CornellLabOfOrnithology:EBIRD:OBS206579591,2020-04-05 23:01:52,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Lakes Entrance,L1745800,P,-37.8795687,147.9912043,1996-10-23,,obsr284567,S14844549,Incidental,P20,EBIRD,,,,,1,,0,1,0,,Historical data with limited details,,
16,URN:CornellLabOfOrnithology:EBIRD:OBS228576089,2018-12-30 19:39:22,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,South Australia,AU-SA,Grant,AU-SA-GRA,,,,,Port Macdonnell 10' Cell,L2547436,P,-38.08333,140.75,1988-02-07,,obsr19060,S16576425,Historical,P62,EBIRD_AU,,,,,1,,0,1,0,,Lesser Sand Plover Wader survey Eremaea Birds List 10864,3,
17,URN:CornellLabOfOrnithology:EBIRD:OBS847059086,2020-01-05 05:12:23,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,West Tamar,AU-TAS-WET,,,,,Asbestos Range National Park,L10426046,P,-41.1023019,146.674054,1985-12-09,07:00:00,obsr1375321,S63035233,Traveling,P22,EBIRD_AU,240.0,4.0,,2.0,1,,0,1,0,,,,
18,URN:CornellLabOfOrnithology:EBIRD:OBS892176391,2020-04-10 10:58:29,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,New South Wales,AU-NSW,Shoalhaven,AU-NSW-SHO,,,,,"Beachside Caravan, Ulladulla",L11119572,P,-35.3792256,150.4617823,1989-03-10,08:00:00,obsr776201,S66921373,Stationary,P21,EBIRD,60.0,,,1.0,1,,0,1,0,,"beach, sand dunes",,
19,URN:CornellLabOfOrnithology:EBIRD:OBS124434439,2020-04-12 03:43:35,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,South Gippsland,AU-VIC-SGI,,,,,Wilsons Promontory National Park,L928172,H,-38.9762255,146.3722229,1987-11-07,06:00:00,obsr273099,S8687504,Traveling,P22,EBIRD,600.0,8.047,,3.0,1,,0,1,0,,,,
20,URN:CornellLabOfOrnithology:EBIRD:OBS137858945,2019-08-08 14:57:24,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Wattle Range,AU-SA-WAT,,,,,Beachport Conservation Park,L1314376,H,-37.4582357,139.99603270000000,1996-03-18,,obsr3634,S9720442,Incidental,P20,EBIRD,,,,1.0,1,,0,1,0,,,,
21,URN:CornellLabOfOrnithology:EBIRD:OBS228317269,2020-04-11 17:34:15,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Mornington Peninsula,AU-VIC-MPE,,,,,Blairgowrie,L2547974,P,-38.36265,144.77611000000000,1975-12-08,,obsr450476,S16627035,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Survey done by Ted Dawkins;donated to BOCA Library. Eremaea Birds List 5385,,
22,URN:CornellLabOfOrnithology:EBIRD:OBS516396089,2020-02-28 23:36:47,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Mallacoota,L2040935,H,-37.556196500000000,149.7560281,1981-02-21,,obsr789613,S37977611,Historical,P62,EBIRD_AU,,,,1.0,1,,0,1,0,,Recorded all bird species seen or heard calling on 21 and 22 February 1981 during the first National Wader Count.,,
23,URN:CornellLabOfOrnithology:EBIRD:OBS432661929,2020-06-08 08:00:54,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Break O'Day,AU-TAS-BRE,,,,,Lagoons Beach Conservation Area,L2549903,H,-41.652094900000000,148.2965869,1973-09-07,09:00:00,obsr95520,S31788728,Incidental,P20,EBIRD,,,,1.0,0,,0,1,0,,Inaccurate time.,,
24,URN:CornellLabOfOrnithology:EBIRD:OBS228285468,2020-02-28 23:33:42,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Belfast Coastal Reserve--Skenes Rd,L2547968,H,-38.364540000000000,142.26076,1990-02-18,,obsr450663,S16617292,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 3229,,
25,URN:CornellLabOfOrnithology:EBIRD:OBS231816912,2018-07-03 17:48:54,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,Seal Bay Conservation Park,L1007582,H,-35.992101400000000,137.3194263,1997-08-16,,obsr445825,S16732090,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,,
26,URN:CornellLabOfOrnithology:EBIRD:OBS488183554,2020-02-17 00:35:36,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,New South Wales,AU-NSW,Bega Valley,AU-NSW-BEG,,,,,Merimbula,L2550810,H,-36.8873,149.9081,1986-12-26,,obsr906340,S36112049,Historical,P62,EBIRD_AU,,,,1.0,0,,0,1,0,,,,
27,URN:CornellLabOfOrnithology:EBIRD:OBS228283464,2017-10-20 10:51:51,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Tasman,AU-TAS-TAS,,,,,Eaglehawk Neck,L1931771,H,-43.0197096,147.9257584,1993-12-08,,obsr450663,S16688078,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"0550-0900  Weather: Fine, bright, sunny, initially at dawn. Eremaea Birds List 3348",,
28,URN:CornellLabOfOrnithology:EBIRD:OBS658251332,2018-09-18 05:34:11,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Kingborough,AU-TAS-KIN,,,,,Adventure Bay,L943017,H,-43.364189700000000,147.3341274,1999-07-01,,obsr603482,S48585600,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
29,URN:CornellLabOfOrnithology:EBIRD:OBS607142110,2020-04-11 03:07:17,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Griffiths Island,L2064000,H,-38.393060600000000,142.2462286,1993-01-03,,obsr357881,S26544332,Historical,P62,EBIRD,,,,1.0,0,,0,1,0,,,,
